UniqueID,wave2.dum,wave3.dum,mg.asp_w2,mg.asp_w3,mg.pln_w1,mg.pln_w2,mg.pln_w3,treat.dum,Region,nonmissing2,nonmissing3,wt2,wt3,bus.location,bus.open,bus.purchases,bus.hire,bus.profit,bus.close,self.suff_w2,efficacy_w2,placeat_w2,self.suff_w3,efficacy_w3,placeat_w3,age,educ,male,bs.exp.now,bs.exp.past,Score,job_w1,top.dest.d_w1,top.dest.d_w2,top.dest.d_w3,nt.mg.afr,nt.mg.good.afr,nt.mg.cnt.afr,nt.mg.out,nt.mg.good.out,nt.mg.cnt.out,gvt.rg.cmpl_w2,gvt.rg.cmpl_w3,bs.supp_w2,bs.supp_w3,nt.bs,nt.bs.cnt,occup,bribes.common_w2,bribes.common_w3,gvt.rg.unpred_w2,gvt.rg.unpred_w3,mg.ab.work_w2,mg.ab.work_w3,mg.ab.tourist_w2,mg.ab.tourist_w3,mg.ab.bw_w2,mg.ab.bw_w3,cvd.rch.econ_w2,cvd.rch.econ_w3,lost.job.dum,lost.job,bw.risk_w2,bw.risk_w3,mg.ab_w2,mg.ab_w3,rsktkr
1,1,1,NA,3,NA,1,1,1,Upper River Region,TRUE,TRUE,1.0527875608531587,1.2910716941391704,0,1,1,1,1,1,3.57142857142857,3.66666666666667,3,3.71428571428571,4,4,35,2,1,1,0,60,1,NA,1,1,NA,NA,NA,5,5,0,4,2,3,4,2,1,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",2,4,4,4,3,3,2,3,1,1,2,1,0,2,7,9,1,3,9
3,1,1,4,3,1,1,1,0,West Coast Region,TRUE,TRUE,1.0889679893130642,1.3578955973830078,1,0,0,0,0,0,3.42857142857143,3.66666666666667,1,3.85714285714286,3.33333333333333,2,28,2,0,0,0,60,1,1,1,1,1,1,1,6,6,2,4,4,2,2,5,4,Other,2,4,4,4,1,2,2,2,1,1,4,2,0,2,10,8,2,2,10
4,0,0,NA,NA,3,NA,NA,0,Greater Banjul Area,FALSE,FALSE,1.105370619054416,1.3528288095892438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,1,0,0,47,0,1,NA,NA,NA,NA,NA,12,8,3,NA,NA,NA,NA,3,0,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,5
5,1,0,2,NA,2,1,NA,0,West Coast Region,TRUE,FALSE,1.0525205579708192,1.3594713570485857,NA,NA,NA,NA,NA,NA,3.57142857142857,3.33333333333333,3,NA,NA,NA,35,1,0,1,0,47,0,1,1,NA,NA,NA,NA,15,13,1,5,NA,4,NA,10,1,Other,4,NA,5,NA,2,NA,1,NA,2,NA,2,NA,1,1,10,NA,2,NA,5
6,1,0,2,NA,1,1,NA,1,Greater Banjul Area,TRUE,FALSE,1.1322473721948323,1.5016016769952656,NA,NA,NA,NA,NA,NA,3.85714285714286,3.66666666666667,3,NA,NA,NA,34,3,1,0,0,67,1,1,NA,NA,NA,NA,NA,25,20,NA,3,NA,3,NA,5,5,"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",3,NA,3,NA,2,NA,0,NA,1,NA,3,NA,0,2,6,NA,2,NA,5
9,1,1,4,2,1,2,1,1,Greater Banjul Area,TRUE,TRUE,1.1082169098318795,1.404553968997375,0,0,0,0,0,1,4.85714285714286,3.33333333333333,1,3.85714285714286,3.66666666666667,3,29,3,1,0,0,60,0,1,1,1,2,NA,2,1,NA,1,3,3,4,2,5,10,Student,4,3,4,3,2,2,2,2,2,1,1,3,0,0,6,5,4,1,10
11,1,1,4,5,2,2,2,1,West Coast Region,TRUE,TRUE,1.084680775365894,1.3494683324678667,1,1,1,1,1,0,4,4,4,4.71428571428571,4.66666666666667,4,29,3,1,1,0,67,1,1,1,0,1,1,1,1,1,1,5,5,4,4,10,1,Supervisor/Foreman/Senior manager,5,5,5,5,2,3,2,4,1,1,4,1,0,2,10,10,1,3,10
13,1,0,3,NA,NA,2,NA,1,Upper River Region,TRUE,FALSE,1.0706556755374714,1.3758818896882552,NA,NA,NA,NA,NA,NA,3.42857142857143,3.33333333333333,5,NA,NA,NA,24,2,0,1,0,47,0,1,1,NA,2,2,NA,NA,NA,NA,2,NA,4,NA,6,0,Agriculture/farming/fishing/forestry,4,NA,4,NA,1,NA,1,NA,2,NA,NA,NA,1,1,5,NA,2,NA,0
14,1,1,5,4,3,1,1,0,West Coast Region,TRUE,TRUE,1.0868050511923764,1.5082674598772512,0,0,0,0,0,0,3.28571428571429,4,1,4.28571428571429,4.33333333333333,3,22,2,0,1,0,47,1,1,1,1,8,6,5,15,12,NA,4,5,5,2,10,2,Other,4,4,4,5,3,3,3,3,3,1,1,3,0,2,5,5,2,3,0
15,1,1,5,3,1,1,1,1,Greater Banjul Area,TRUE,TRUE,1.0604891619558228,1.3002417431853552,1,0,1,0,1,0,3.71428571428571,4,3,3.28571428571429,4,1,33,2,1,0,0,47,1,1,1,1,NA,NA,NA,10,10,2,2,3,3,3,2,1,"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist, tailor, or skilled manufacturing worker, designer)",4,4,2,2,2,2,1,2,1,4,2,3,0,2,6,4,2,3,7
